cityLabel,population,countryCode,country
São José do Rio Preto,415769,BR,http://www.wikidata.org/entity/Q155
Paju,415345,KR,http://www.wikidata.org/entity/Q884
Nagqu,414554,CN,http://www.wikidata.org/entity/Q148
São José do Rio Preto,414272,BR,http://www.wikidata.org/entity/Q155
Montes Claros,414240,BR,http://www.wikidata.org/entity/Q155
Jhang,414131,PK,http://www.wikidata.org/entity/Q843
Talkha,413584,EG,http://www.wikidata.org/entity/Q79
Montes Claros,413487,BR,http://www.wikidata.org/entity/Q155
Boa Vista,413486,BR,http://www.wikidata.org/entity/Q155
Jayapura,413283,ID,http://www.wikidata.org/entity/Q252
Tulsa,413066,US,http://www.wikidata.org/entity/Q30
Toyama,413028,JP,http://www.wikidata.org/entity/Q17
Tver,412806,RU,http://www.wikidata.org/entity/Q159
Sanandaj,412767,IR,http://www.wikidata.org/entity/Q794
São José do Rio Preto,412075,BR,http://www.wikidata.org/entity/Q155
Betim,412003,BR,http://www.wikidata.org/entity/Q155
Betim,411846,BR,http://www.wikidata.org/entity/Q155
Tirunelveli,411298,IN,http://www.wikidata.org/entity/Q668
Pasto,410835,CO,http://www.wikidata.org/entity/Q739
Ballary,410445,IN,http://www.wikidata.org/entity/Q668
Manisa,410440,TR,http://www.wikidata.org/entity/Q43
Samannud,410388,EG,http://www.wikidata.org/entity/Q79
Bhagalpur,410210,IN,http://www.wikidata.org/entity/Q668
Caxias do Sul,410166,BR,http://www.wikidata.org/entity/Q155
Maringá,409657,BR,http://www.wikidata.org/entity/Q155
Montes Claros,409341,BR,http://www.wikidata.org/entity/Q155
Kom Ombo,409311,EG,http://www.wikidata.org/entity/Q79
Mataram,408900,ID,http://www.wikidata.org/entity/Q252
Santa Fe,408572,AR,http://www.wikidata.org/entity/Q414
Magnitogorsk,408487,RU,http://www.wikidata.org/entity/Q159
São José do Rio Preto,408258,BR,http://www.wikidata.org/entity/Q155
Zaria,408198,NG,http://www.wikidata.org/entity/Q1033
Campos dos Goytacazes,406989,BR,http://www.wikidata.org/entity/Q155
Betim,406474,BR,http://www.wikidata.org/entity/Q155
Feira de Santana,406447,BR,http://www.wikidata.org/entity/Q155
Patiala,406192,IN,http://www.wikidata.org/entity/Q668
Caxias do Sul,405858,BR,http://www.wikidata.org/entity/Q155
Caruaru,405408,BR,http://www.wikidata.org/entity/Q155
Carapicuíba,405375,BR,http://www.wikidata.org/entity/Q155
Montes Claros,404804,BR,http://www.wikidata.org/entity/Q155
Bakersfield,403455,US,http://www.wikidata.org/entity/Q30
